,index,value
2243,2243,"[-0.17788054049015045, 0.10250386130064726, 0.11008163541555405, -0.2993435114622116, 0.11469767428934574, 0.2600027280859649, 0.0020623282180167735, -0.07274087308906019, 0.09896093292627484, -0.003955713007599115, -0.06576287280768156, -0.008859897498041391, 0.15862043388187885, -0.0505827916203998, -0.07345133484341204, -0.12512874696403742, 0.0910620172508061, -0.02139467792585492, 0.02933352836407721, -0.057178821647539735, -0.457889087498188, -0.3642345815896988, -0.07190917246043682, 0.12030401360243559, -0.1257542073726654, -0.19737753085792065, -0.17925062216818333, 0.28639712929725647, 0.041037822142243385, -0.002254885621368885, -0.003958534682169557, 0.04633320728316903, -0.15367490984499454, -0.1842502113431692, 0.03394457371905446, -0.024619568459456787, -0.09924657735973597, -0.1973709613084793, 0.0023454923648387194, 0.02801555208861828, -0.24505790695548058, -0.06270367000252008, 0.09640617854893208, 0.521576315164566, -0.0019755425164476037, -0.22271959483623505, -0.21926596947014332, -0.16304011770989746, -0.008232168154790998, 0.13225764501839876]"
2244,2244,"[-0.19450761005282402, 0.1392028322443366, 0.1359870545566082, -0.30102245695888996, 0.1076746741309762, 0.2309414721094072, -0.00758171797497198, -0.06820868933573365, 0.10550981061533093, -0.0078072493051877245, -0.07681355578824878, 0.010443630628287792, 0.13312753476202488, -0.013782808789983392, -0.07373160449787974, -0.11588234920054674, 0.09307747334241867, -0.006797138601541519, 0.013198235305026174, -0.06839131331071258, -0.4303181432187557, -0.3662431351840496, -0.09135584626346827, 0.10026923939585686, -0.132770542986691, -0.19003113452345133, -0.17428537923842669, 0.2922421358525753, 0.051990336272865534, -0.0024877646937966347, -0.0251105377683416, 0.05888867494650185, -0.14959388691931963, -0.1732282293960452, 0.016822817968204618, 0.01285135536454618, -0.0986671969294548, -0.1846069609746337, -0.025235704495571554, 0.04189875454176217, -0.23888231627643108, -0.06347872084006667, 0.09190223645418882, 0.5367644242942333, -0.0005654649576172233, -0.22451594099402428, -0.20603758096694946, -0.14535695360973477, -0.02441823839035351, 0.13637159299105406]"
2245,2245,"[-0.19258642848581076, 0.13900047540664673, 0.1324696666561067, -0.3320092186331749, 0.12640872411429882, 0.2240699976682663, -0.006061948370188475, -0.07750130351632833, 0.096795036457479, -0.02426485065370798, -0.09022064926102757, 0.010764566250145435, 0.15324083995074034, -0.008040418848395348, -0.05053211038466543, -0.13463564682751894, 0.09039121586829424, -0.03735991264693439, 0.038229236379265785, -0.061825268901884556, -0.44512729346752167, -0.3801296576857567, -0.0905729322694242, 0.12321276310831308, -0.12930596247315407, -0.19484858959913254, -0.23298726044595242, 0.28947283886373043, 0.09699835907667875, -0.0005045686848461628, -0.028876595199108124, 0.06453005224466324, -0.1267490303143859, -0.15154777839779854, 0.056168234907090664, -0.03090612730011344, -0.13243558444082737, -0.190687732771039, -0.0014885248383507133, 0.030556502286344767, -0.2230483926832676, -0.07514738487952854, 0.12779458798468113, 0.5848868675529957, 0.0061575856525450945, -0.2378907073289156, -0.2194692324846983, -0.1704591065645218, -0.02159450203180313, 0.12270603538490832]"
2246,2246,"[-0.20100490003824234, 0.14270224422216415, 0.15543579310178757, -0.31641116738319397, 0.13674762472510338, 0.24615887366235256, -0.014586817473173141, -0.0738790777977556, 0.09785503894090652, -0.029348680283874273, -0.10170573112554848, 0.009465308859944344, 0.13853617222048342, -0.033016800647601485, -0.06880672508850694, -0.12180078309029341, 0.08111025672405958, -0.033593419939279556, 0.026065023965202272, -0.060820568760391325, -0.4588625505566597, -0.38978295028209686, -0.09694109112024307, 0.12027421966195107, -0.14355728030204773, -0.19642652198672295, -0.1960424929857254, 0.308722548186779, 0.07968341745436192, -0.00028366540209390223, -0.033652282785624266, 0.05441982997581363, -0.13215245306491852, -0.17862624302506447, 0.0242414812091738, -0.0045269683469086885, -0.1022759173065424, -0.18505565635859966, 0.0015105099882930517, 0.05691227875649929, -0.23459802381694317, -0.07348213624209166, 0.1020161397755146, 0.588417261838913, 0.004591624645399861, -0.24393745139241219, -0.2026511374861002, -0.14515862823463976, -0.0029889222932979465, 0.1288671437650919]"
2247,2247,"[-0.1971315834671259, 0.12153224088251591, 0.14491461869329214, -0.315961342304945, 0.14068866148591042, 0.2615432506427169, -0.004128741100430489, -0.09590430185198784, 0.10184454638510942, 0.02020946261473, -0.08470967132598162, 0.0022142776870168746, 0.15250246971845627, -0.04499310115352273, -0.07307412009686232, -0.12360471114516258, 0.06882678996771574, -0.0425513933878392, 0.030320229358039796, -0.05461652344092727, -0.44950100034475327, -0.3654633164405823, -0.08647270780056715, 0.10887573938816786, -0.12525681406259537, -0.17900057695806026, -0.1976762544363737, 0.276134479790926, 0.06943796516861767, -0.0006683592218905687, -0.020319686271250248, 0.06093045184388757, -0.11546896304935217, -0.15852642245590687, 0.025400578510016203, -0.02729738876223564, -0.12301281839609146, -0.18955735862255096, 5.960828275419772e-05, 0.027641056571155787, -0.22767486609518528, -0.05732333706691861, 0.11111068725585938, 0.5639970600605011, 0.005564805120229721, -0.22869744896888733, -0.20874710194766521, -0.16532213240861893, -0.02216534638137091, 0.10582183115184307]"
2248,2248,"[-0.19518245570361614, 0.1106775370426476, 0.1341191427782178, -0.3028411213308573, 0.12292502634227276, 0.2643021661788225, -0.011225700378417969, -0.07302785851061344, 0.10164966341108084, 0.02110624872148037, -0.060715711675584316, 0.006412548013031483, 0.16464340570382774, -0.02468194835819304, -0.0532937275711447, -0.1404829053208232, 0.09105711756274104, -0.02145765768364072, 0.031703785760328174, -0.055951121990801767, -0.4279448837041855, -0.36596309393644333, -0.053798225708305836, 0.1291484422981739, -0.12254375033080578, -0.16925311088562012, -0.18722167424857616, 0.2749490328133106, 0.06045712437480688, 0.00992120080627501, -0.013488005381077528, 0.05687191989272833, -0.13658866938203573, -0.1648666076362133, 0.03579078789334744, -0.04446196532808244, -0.11907718796283007, -0.18995303101837635, -0.00021189746621530503, 0.015541892033070326, -0.23389644175767899, -0.07074837572872639, 0.10484680067747831, 0.5305131003260612, 0.006315757520496845, -0.22500788606703281, -0.21042588725686073, -0.16213003359735012, -0.012682645130553283, 0.09780498780310154]"
2249,2249,"[-0.20841961540281773, 0.12241538381204009, 0.13820007722824812, -0.324513453990221, 0.14935466181486845, 0.2611144119873643, -0.004223461437504739, -0.05581406503915787, 0.08349698036909103, 0.000369128305464983, -0.0868654316291213, 0.006934404373168945, 0.15488546341657639, -0.0017000914085656404, -0.047405676916241646, -0.15663990192115307, 0.10166887193918228, -0.010668721282854676, 0.021394475363194942, -0.060213973541976884, -0.4548111706972122, -0.4066544435918331, -0.05404573958367109, 0.149527782574296, -0.13007926009595394, -0.21372133679687977, -0.20919713377952576, 0.3174233213067055, 0.0818959642201662, 0.005357386660762131, -0.020514492876827717, 0.03808828629553318, -0.16575045138597488, -0.1941300593316555, 0.031300544273108244, -0.03971004392951727, -0.11808069981634617, -0.19578263722360134, -0.003399111330509186, 0.058895382564514875, -0.23448091000318527, -0.09110119473189116, 0.11266047693789005, 0.5870311260223389, 0.005180465348530561, -0.24373754113912582, -0.22588574141263962, -0.15528011973947287, -0.010252229636535048, 0.13429353386163712]"
2250,2250,"[-0.18081959523260593, 0.12578954827040434, 0.1383772511035204, -0.30964749678969383, 0.12012398988008499, 0.18167425505816936, -0.011686697602272034, -0.05353130819275975, 0.08460182044655085, -0.02703004702925682, -0.09340037126094103, 0.011104209581390023, 0.10777620924636722, -0.0022309217019937932, -0.09100894909352064, -0.10399908921681345, 0.08916824869811535, -0.01571427076123655, 0.003392091894056648, -0.06899824226275086, -0.4128667786717415, -0.36866454407572746, -0.0671752052148804, 0.10394010925665498, -0.12349672056734562, -0.20785910822451115, -0.18825791031122208, 0.28933070600032806, 0.05065544135868549, -0.006547445489559323, -0.015625394880771637, 0.04385778424330056, -0.1401630910113454, -0.16108307428658009, 0.025328614749014378, 0.015554335433989763, -0.11037137731909752, -0.17788762226700783, 0.01078114123083651, 0.042023368179798126, -0.2331861574202776, -0.07425830233842134, 0.08785132877528667, 0.5262903124094009, 0.004619677551090717, -0.20991376787424088, -0.1919968668371439, -0.1454528602771461, -0.03535299492068589, 0.14800952561199665]"
2251,2251,"[-0.26928585208952427, 0.2497167754918337, 0.5437858141958714, -0.38956347666680813, 0.39456459879875183, 0.2592025432968512, -0.3917732732370496, -0.08467802638188004, 0.1598586356267333, 0.1576256132684648, -0.03225987171754241, 0.14302011393010616, -0.019593149423599243, 0.02916253451257944, -0.1556808678433299, -0.33693012222647667, -0.009216547012329102, 0.24235612014308572, 0.023200318653834984, -0.1515005164546892, -0.3173425365239382, -0.38292643427848816, 0.18231239775195718, 0.23897376004606485, -0.03287112759426236, 0.07005120627582073, -0.13493630941957235, 0.2703165151178837, 0.1607144670560956, 0.017353715957142413, -0.15909144841134548, -0.004058285150676966, -0.10038752388209105, -0.32442304119467735, -0.19705952191725373, 0.06838320480346738, -0.0600424250587821, -0.019574638456106186, 0.02707672887481749, -0.029732863418757915, -0.4670538380742073, -0.20620274101383984, -0.04532742593437433, 0.5239350683987141, -0.04928162804571912, -0.2292911857366562, 0.058521345257759094, -0.060666280798614025, 0.055227450327947736, 0.08682813840277959]"
2252,2252,"[-0.19979296997189522, 0.14118890278041363, 0.13293861132115126, -0.31163708306849003, 0.131431152112782, 0.2143193483352661, -0.02823496423661709, -0.07392605557106435, 0.10723642352968454, -0.010608961107209325, -0.10312214051373303, -0.00736916356254369, 0.11458652932196856, -0.029552720952779055, -0.06807093694806099, -0.12446986325085163, 0.07785110408440232, -0.027326535433530807, 0.023411287926137447, -0.05328028782969341, -0.42700259760022163, -0.37305886670947075, -0.0766218388453126, 0.11820171866565943, -0.11747728753834963, -0.18382951989769936, -0.18679586052894592, 0.2733292914927006, 0.07892588898539543, 0.005828319590364117, -0.0276292129419744, 0.058586600702255964, -0.11641987692564726, -0.14334063697606325, 0.039733461919240654, -0.0037387777119874954, -0.1088479203172028, -0.17129203397780657, 0.001882703450974077, 0.03667811211198568, -0.2036251062527299, -0.05360896489582956, 0.10283285472542048, 0.5429598055779934, 0.0036628542002290487, -0.22115399315953255, -0.19796276278793812, -0.13422565627843142, -0.031637236941605806, 0.11945657152682543]"
2253,2253,"[-0.21029863134026527, 0.11972899083048105, 0.1589122712612152, -0.3328153621405363, 0.13088014535605907, 0.25838256627321243, -0.0216732369735837, -0.0614533550105989, 0.11334007000550628, -0.02077488135546446, -0.07099489867687225, -0.008403806466958486, 0.14380302466452122, -0.06568233799771406, -0.0881707239896059, -0.12397256027907133, 0.0657357145100832, -7.4624549597501755e-06, 0.03107361402362585, -0.07317428197711706, -0.45220091193914413, -0.38106125965714455, -0.06013495707884431, 0.14239008910953999, -0.14342151209712029, -0.18782292678952217, -0.20907323621213436, 0.28924060240387917, 0.08004141319543123, 0.009582131140632555, -0.020352783147245646, 0.0635544631513767, -0.13737716805189848, -0.16640189662575722, 0.01409254432655871, -0.027940319618210196, -0.11395740695297718, -0.19988622143864632, -0.001681620895396918, 0.03264954639598727, -0.23546896502375603, -0.06429752428084612, 0.10186056513339281, 0.5533224120736122, 0.014955995255149901, -0.2503327950835228, -0.1988249598070979, -0.17034547496587038, -0.015683283272664994, 0.1288010235875845]"
2254,2254,"[-0.20304078422486782, 0.14103648997843266, 0.12920324318110943, -0.33510030433535576, 0.1278002616018057, 0.27683652890846133, 0.0007843263447284698, -0.08940457785502076, 0.1216013003140688, -0.0024354811757802963, -0.09017318114638329, -0.0024311335291713476, 0.17147628078237176, -0.04885186953470111, -0.07680011447519064, -0.13257609773427248, 0.09689928963780403, -0.04871691158041358, 0.04572762711904943, -0.06074938201345503, -0.498388446867466, -0.3907220661640167, -0.09594221878796816, 0.1218988774344325, -0.13849841617047787, -0.20000464841723442, -0.21387586370110512, 0.30343567579984665, 0.06060135364532471, -0.0013646718580275774, -0.01777729857712984, 0.06487478548660874, -0.14972922578454018, -0.18594205006957054, 0.04970789863727987, -0.017399916192516685, -0.10596681199967861, -0.20413005724549294, -0.001388926524668932, 0.03601530520245433, -0.25146695226430893, -0.06742717418819666, 0.12426861003041267, 0.5947084873914719, -0.0022387128265108913, -0.23322243243455887, -0.23615917190909386, -0.17127957404591143, -0.01318134693428874, 0.12457362003624439]"
2255,2255,"[-0.18904666509479284, 0.1077851289883256, 0.11442030966281891, -0.3120446428656578, 0.09552702307701111, 0.3036123216152191, 0.011977546848356724, -0.09507321007549763, 0.11539235431700945, 0.0065727095934562385, -0.07344561628997326, -0.001843538018874824, 0.1709919422864914, -0.08400670648552477, -0.05668207071721554, -0.13155819103121758, 0.06962545216083527, -0.02580152894370258, 0.04698456451296806, -0.0689519252628088, -0.4548134133219719, -0.35820167884230614, -0.0627734330482781, 0.12814368493855, -0.1379621485248208, -0.17736739479005337, -0.1977506261318922, 0.2767241857945919, 0.0489561315625906, 0.005963779287412763, -0.04926003480795771, 0.059362856205552816, -0.13693631906062365, -0.15993955079466105, 0.033623432740569115, -0.04002169903833419, -0.09689783491194248, -0.1897558718919754, 0.01264330730191432, 0.02314612572081387, -0.24187349528074265, -0.07358444156125188, 0.08626494082272984, 0.5341525264084339, 0.0036953287199139595, -0.24301711097359657, -0.21751500852406025, -0.16787660657428205, -0.012337689870037138, 0.1161340600810945]"
2256,2256,"[-0.19873861968517303, 0.12959742359817028, 0.14290542574599385, -0.2891196459531784, 0.1444604229182005, 0.23114476189948618, -0.010543225333094597, -0.0660670580691658, 0.08692576736211777, -0.009154499974101782, -0.07100765686482191, 0.006834592204540968, 0.1490685399621725, -0.03504616837017238, -0.056408545351587236, -0.11649804189801216, 0.05628560855984688, -0.03444482576014707, 0.028783896937966347, -0.04509268421679735, -0.4000435657799244, -0.33997635543346405, -0.0569521258585155, 0.12004596181213856, -0.12698295153677464, -0.1685154028236866, -0.20430071093142033, 0.2613420635461807, 0.10996595863252878, -0.0029964655986987054, -0.01639208337292075, 0.05775545630604029, -0.11347823217511177, -0.1512178983539343, 0.01818569120950997, -0.04272349178791046, -0.12449921574443579, -0.17569435201585293, -0.003875274211168289, 0.038051201961934566, -0.1939903199672699, -0.05874490411952138, 0.1170473387464881, 0.5387193635106087, 0.01302862516604364, -0.21467071771621704, -0.17291438579559326, -0.16556263901293278, -0.01738902134820819, 0.11252235248684883]"
2257,2257,"[-0.18032503314316273, 0.11420860048383474, 0.1286863936111331, -0.3125703651458025, 0.13078897586092353, 0.27080959314480424, 0.004611964337527752, -0.09019837155938148, 0.0868843044154346, 0.005436965497210622, -0.06686074659228325, 0.020757170161232352, 0.17884474620223045, -0.020881816803012043, -0.03328849119134247, -0.1429381286725402, 0.07196562993340194, -0.04641179562895559, 0.036072781309485435, -0.05247819796204567, -0.4253804609179497, -0.3509124740958214, -0.08601823449134827, 0.1151376967318356, -0.12105695437639952, -0.1794175449758768, -0.21313197910785675, 0.27966500632464886, 0.09851991198956966, 0.005115033491165377, -0.02575990278273821, 0.0644446867518127, -0.11943520791828632, -0.16514361184090376, 0.034297077218070626, -0.05843354482203722, -0.12893108185380697, -0.1830556020140648, 0.0050298254791414365, 0.024493987672030926, -0.23253564722836018, -0.07911774329841137, 0.11168055515736341, 0.562521442770958, 0.006930247414857149, -0.2334095910191536, -0.20637029595673084, -0.16969636094290763, -0.007899486925452948, 0.0987969278357923]"
2258,2258,"[-0.23125384375452995, 0.1388778369873762, 0.16196793573908508, -0.3466668389737606, 0.15688255615532398, 0.3033643017988652, -0.008753789588809013, -0.09051632531918585, 0.11896056868135929, 0.0068582771345973015, -0.0798735860735178, 0.000429010484367609, 0.1796533027663827, -0.05389677977655083, -0.06728362943977118, -0.15031670778989792, 0.07304202252998948, -0.034167704987339675, 0.04425290320068598, -0.07377167092636228, -0.5053352266550064, -0.40685030072927475, -0.07631393056362867, 0.1384374499320984, -0.15076297149062157, -0.20486707985401154, -0.23271394520998, 0.29935645312070847, 0.08136636670678854, 0.005039718467742205, -0.021815283223986626, 0.05870911665260792, -0.14518966898322105, -0.18773947097361088, 0.030054593924432993, -0.030914742033928633, -0.12206483073532581, -0.22529730200767517, 0.005322166893165559, 0.03429271373897791, -0.2528145406395197, -0.08748783590272069, 0.11861479934304953, 0.6318624466657639, 0.017076909774914384, -0.24672024697065353, -0.21637111343443394, -0.18391741754021496, -0.009991852224629838, 0.12954780645668507]"
2259,2259,"[-0.20020020380616188, 0.11602094676345587, 0.12806529458612204, -0.3021916914731264, 0.12343267817050219, 0.2428500798996538, -0.005608455161564052, -0.06169975083321333, 0.10173930041491985, -0.016255727037787437, -0.0788058415055275, -0.013410034269327298, 0.1477448372170329, -0.05059913941659033, -0.05100287823006511, -0.11809793021529913, 0.06265485752373934, -0.023171393608208746, 0.028818105085520074, -0.06223145568219479, -0.41306228935718536, -0.3586733937263489, -0.05831238441169262, 0.1310613453388214, -0.13599703274667263, -0.17171121016144753, -0.1975416410714388, 0.26971119455993176, 0.07405540440231562, -0.0008316902094520628, -0.039126187562942505, 0.0539722666144371, -0.12205569539219141, -0.15015222690999508, 0.028888999950140715, -0.022946960656554438, -0.09962836466729641, -0.1791125200688839, 0.0037856916896998882, 0.03194557409733534, -0.21085955016314983, -0.07438921136781573, 0.09025288419798017, 0.5427836179733276, 0.005669341306202114, -0.2371868845075369, -0.1979759056121111, -0.1705748587846756, -0.010371939642936923, 0.11742380727082491]"
2260,2260,"[-0.19280775915831327, 0.1338896257802844, 0.14869503676891327, -0.31174869649112225, 0.12282368261367083, 0.22918633976951241, -0.04121123068034649, -0.06332717486657202, 0.09037812566384673, 0.008871789323166013, -0.10376099869608879, 0.0053742448217235506, 0.11866176314651966, -0.0280022140359506, -0.05478466488420963, -0.11509421514347196, 0.08446502964943647, -0.004477161972317845, 0.007673947839066386, -0.07778140902519226, -0.4053748585283756, -0.3810908980667591, -0.053233896382153034, 0.13256843108683825, -0.10904959216713905, -0.1801067739725113, -0.17884565331041813, 0.28373318910598755, 0.07020674087107182, 0.01686600735411048, -0.04215140175074339, 0.03396831825375557, -0.14094604086130857, -0.14373805094510317, 0.031409039394930005, -0.005696318767149933, -0.11291965283453465, -0.1745467707514763, 0.007625872967764735, 0.0444580796174705, -0.22736982256174088, -0.08264039363712072, 0.07832123897969723, 0.5314446687698364, 0.003524621482938528, -0.23476520739495754, -0.2017404492944479, -0.13239298132248223, -0.0334221861558035, 0.1352210072800517]"
2261,2261,"[-0.2087385207414627, 0.12640840141102672, 0.12538652960211039, -0.3334063608199358, 0.1375090628862381, 0.26186387706547976, -0.02094571851193905, -0.0605717683210969, 0.09737175796180964, 0.00882518757134676, -0.0705517828464508, 0.00017509587632957846, 0.17055736109614372, -0.036290423246100545, -0.05887478217482567, -0.1340313795953989, 0.09154094196856022, -0.019649327266961336, 0.03008150402456522, -0.05936447231215425, -0.45776915550231934, -0.3735797367990017, -0.05815136432647705, 0.1454763226211071, -0.12285534851253033, -0.2051217444241047, -0.19998485781252384, 0.2970736250281334, 0.06182731827721, 0.01908491854555905, 0.0021845242008566856, 0.051656369119882584, -0.14873344544321299, -0.17327143251895905, 0.03874680493026972, -0.029672056727577, -0.11257957480847836, -0.19428863003849983, -0.0017379591590724885, 0.028007595101371408, -0.24766969867050648, -0.060124772251583636, 0.11460851691663265, 0.5451655499637127, 0.013496904633939266, -0.23529346473515034, -0.2184113897383213, -0.15378059120848775, -0.011001553037203848, 0.11339978873729706]"
2262,2262,"[-0.20408789068460464, 0.13078936841338873, 0.13510054256767035, -0.3237568326294422, 0.13494382984936237, 0.23551719915121794, -0.007812080904841423, -0.06967812916263938, 0.1049781171604991, -0.0021724863909184933, -0.09132584556937218, -0.002435302478261292, 0.14624590519815683, -0.030515562393702567, -0.0776056032627821, -0.11428766197059304, 0.07312475936487317, -0.04489015438593924, 0.03302437765523791, -0.05427769919333514, -0.4470825009047985, -0.37597137689590454, -0.06925288960337639, 0.12355064041912556, -0.13146702758967876, -0.19846598617732525, -0.2125105131417513, 0.2862108461558819, 0.07153069321066141, 0.0007302985759451985, -0.01412527495995164, 0.05067443661391735, -0.12831970304250717, -0.17009689286351204, 0.03364382137078792, -0.00969274784438312, -0.11338586360216141, -0.19410106539726257, 0.00022077240282669663, 0.039893319830298424, -0.25138030387461185, -0.059707713313400745, 0.10143814701586962, 0.5699495151638985, -0.0005481608677655458, -0.2477489821612835, -0.228844428434968, -0.1756380768492818, -0.021174324210733175, 0.11631902679800987]"
2263,2263,"[-0.18518235348165035, 0.12891127169132233, 0.11987731652334332, -0.3125636354088783, 0.1284183720126748, 0.24178293906152248, -0.016684087924659252, -0.08327730419114232, 0.09449008386582136, 0.019660881429445, -0.08254780154675245, 0.02665031119249761, 0.15294334437930956, -0.03906262875534594, -0.058220163322403096, -0.120797298848629, 0.07150416821241379, -0.05602509679738432, 0.04753545648418367, -0.04706406872719526, -0.4187760129570961, -0.3399951234459877, -0.07330899499356747, 0.11000283248722553, -0.11939921136945486, -0.16938678920269012, -0.20219598338007927, 0.25876961275935173, 0.08842317061498761, 0.007615024456754327, -0.0027775303460657597, 0.06432449887506664, -0.11541963927447796, -0.14171825535595417, 0.026820584724191576, -0.05139169085305184, -0.12902984395623207, -0.16774048656225204, 0.0070472993538714945, 0.029460440389811993, -0.21871851943433285, -0.05384181858971715, 0.11975277494639158, 0.536404125392437, 0.01504983106860891, -0.22032485529780388, -0.19109086506068707, -0.14268483966588974, -0.021653929667081684, 0.09214657451957464]"
2264,2264,"[-0.21108537912368774, 0.12212228402495384, 0.11789924860931933, -0.3362022750079632, 0.1339944787323475, 0.2810536394827068, 0.01710595889016986, -0.08447057567536831, 0.11041623819619417, -0.0006593756843358278, -0.06731705088168383, 0.004870903212577105, 0.17256306111812592, -0.046850452199578285, -0.07726368634030223, -0.12300229910761118, 0.07224326999858022, -0.05161009170114994, 0.03603350929915905, -0.04666460584849119, -0.47945743054151535, -0.37421155720949173, -0.07817054586485028, 0.12903981190174818, -0.1429747650399804, -0.19862578250467777, -0.2126182448118925, 0.2785370759665966, 0.06302905175834894, 0.0019763654709095135, -0.00343612814322114, 0.06531792227178812, -0.12931310199201107, -0.17268572933971882, 0.02597109938506037, -0.022075000772019848, -0.12990525178611279, -0.20009654946625233, 0.004256143467500806, 0.02330456906929612, -0.2529704235494137, -0.05541326873935759, 0.10881129605695605, 0.5804634988307953, 0.010215047746896744, -0.23936676606535912, -0.21098703891038895, -0.1879584661219269, -0.017689608270302415, 0.12910264637321234]"
2265,2265,"[-0.2078227512538433, 0.14377044653519988, 0.15023815954918973, -0.3347281254827976, 0.12978912889957428, 0.29803565237671137, -0.009935104288160801, -0.07160564512014389, 0.12257782090455294, -0.005811318755149841, -0.07971009612083435, 0.006114771589636803, 0.18366829422302544, -0.06550326477736235, -0.06681871553882957, -0.14806906878948212, 0.08577221632003784, -0.00616402382729575, 0.03496758779510856, -0.07467245100997388, -0.4547603167593479, -0.38660744577646255, -0.06756366998888552, 0.13428888283669949, -0.1489602904766798, -0.19037627056241035, -0.20668238028883934, 0.3213295713067055, 0.0742587260901928, 0.00919433763192501, -0.035304414108395576, 0.07179994834586978, -0.14390427619218826, -0.1943007279187441, 0.02177888574078679, -0.05140743148513138, -0.12201384082436562, -0.19733893312513828, -0.002397926291450858, 0.019235010258853436, -0.25241509079933167, -0.08346513286232948, 0.10276677459478378, 0.5902603939175606, 0.016113699763081968, -0.25523513555526733, -0.2188260480761528, -0.17698887176811695, -0.004885371774435043, 0.10993306711316109]"
2266,2266,"[-0.20031570829451084, 0.1241409182548523, 0.12143626064062119, -0.29871179163455963, 0.14954957365989685, 0.23503806814551353, -0.009692219085991383, -0.056979305343702435, 0.08530900813639164, -0.00868102884851396, -0.07877619145438075, -0.022019211028236896, 0.14737157826311886, -0.04292374150827527, -0.0661390321329236, -0.11858579237014055, 0.06396685680374503, -0.02411174496228341, 0.02352417481597513, -0.047263162094168365, -0.40428273007273674, -0.3504706583917141, -0.06198944849893451, 0.13275736663490534, -0.12425803486257792, -0.18711433932185173, -0.19938354566693306, 0.2648787181824446, 0.07693082792684436, -0.0017939673271030188, -0.011630248744040728, 0.04236470285104588, -0.11450260877609253, -0.15185056254267693, 0.033913291059434414, -0.027074991026893258, -0.11552765499800444, -0.18150641210377216, 0.0008293254068121314, 0.03173144767060876, -0.2068716213107109, -0.06295456271618605, 0.10029249358922243, 0.5159844048321247, 0.01116751425433904, -0.24283790029585361, -0.19376697577536106, -0.15400542318820953, -0.005858527554664761, 0.11517446115612984]"
2267,2267,"[-0.21148277632892132, 0.14235565811395645, 0.12864509411156178, -0.32425741851329803, 0.12388428673148155, 0.23525595711544156, -0.017259913962334394, -0.08614067872986197, 0.0914353197440505, -0.009768672985956073, -0.09252562653273344, -0.003870247630402446, 0.1267769681289792, -0.04302568919956684, -0.07273315917700529, -0.11052896920591593, 0.07785643264651299, -0.02309337619226426, 0.020353283500298858, -0.06692736269906163, -0.4389137588441372, -0.37868811190128326, -0.08875265531241894, 0.11828924249857664, -0.120244394056499, -0.16116615571081638, -0.20758430287241936, 0.27171821519732475, 0.07531255669891834, 0.005292173766065389, -0.03881434444338083, 0.05086092185229063, -0.1310938661918044, -0.15051899664103985, 0.02303829835727811, 0.007610911037772894, -0.10716390237212181, -0.177543006837368, -0.011563151318114251, 0.04399635922163725, -0.2437400259077549, -0.0781416017562151, 0.09491703752428293, 0.5541594289243221, -0.01071534538641572, -0.23383315652608871, -0.2000324446707964, -0.1533467983826995, -0.020315161295002326, 0.12030487973242998]"
2268,2268,"[-0.1963024940341711, 0.13384385220706463, 0.11955628963187337, -0.3425685986876488, 0.14594490267336369, 0.2777037285268307, -0.00209365738555789, -0.0958597706630826, 0.08568437024950981, 0.01884616375900805, -0.104748391546309, 0.021203871117904782, 0.18096464639529586, -0.04057882819324732, -0.05523676937445998, -0.1481822980567813, 0.07796096708625555, -0.052963798865675926, 0.04694109782576561, -0.04891378711909056, -0.46074820682406425, -0.3846474662423134, -0.08782185520976782, 0.12739954236894846, -0.11997263692319393, -0.18933422677218914, -0.22528172843158245, 0.3051222525537014, 0.10377215966582298, 0.011865122010931373, -0.025186097715049982, 0.06036045402288437, -0.12854061275720596, -0.16485821455717087, 0.034150021616369486, -0.06392976525239646, -0.14114741049706936, -0.17982006631791592, 0.008271212922409177, 0.038772749714553356, -0.23371770791709423, -0.08510242681950331, 0.12690396327525377, 0.595678299665451, 0.020598685136064887, -0.2513715773820877, -0.22524981200695038, -0.16524068027501926, -0.02509502647444606, 0.1232884768396616]"
2269,2269,"[-0.17702465038746595, 0.13446886732708663, 0.15855294838547707, -0.33317669853568077, 0.13555497489869595, 0.2683111964724958, -0.02089786622673273, -0.07360609318129718, 0.10011199582368135, -0.012252131244167686, -0.08346532098948956, -0.002624068350996822, 0.16130051482468843, -0.05019973540765932, -0.07635605148971081, -0.1383079681545496, 0.07665196247398853, -0.000713098794221878, 0.01740464463364333, -0.0780845838598907, -0.4538973532617092, -0.37732232734560966, -0.06920436641667038, 0.1356839593499899, -0.13085204921662807, -0.19036692194640636, -0.18752776831388474, 0.3015710338950157, 0.07808122597634792, 0.02184881828725338, -0.027060335502028465, 0.05653327610343695, -0.13865309022367, -0.19512669555842876, 0.027934235520660877, -0.01800967170856893, -0.13338498771190643, -0.20582392811775208, 0.011531872558407485, 0.029564070515334606, -0.24195633456110954, -0.0686174938455224, 0.10368875414133072, 0.5607802122831345, 0.02465111145284027, -0.2570415176451206, -0.20402507111430168, -0.14094896614551544, -0.013430389342829585, 0.1303088776767254]"
